City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,1.83,68,30,12.04,TF,1723270513
1,ulanhot,46.0833,122.0833,19.92,94,100,6.5,CN,1723270514
2,la passe,45.5549,-0.8967,18.69,91,40,3.21,FR,1723270515
3,puerto natales,-51.7236,-72.4875,2.17,98,100,0.87,CL,1723270516
4,albany,42.6001,-73.9662,21.92,76,55,0.45,US,1723270406
5,shendi,16.6915,33.4341,32.41,50,17,4.54,SD,1723270518
6,waitangi,-43.9535,-176.5597,9.88,67,71,4.4,NZ,1723270519
7,tazovsky,67.4667,78.7,15.24,55,15,7.01,RU,1723270520
8,adamstown,-25.066,-130.1015,18.87,72,97,5.5,PN,1723270522
9,dumfries,38.5676,-77.328,24.74,91,29,2.15,US,1723270523
10,kirakira,-10.4544,161.9205,26.48,82,89,7.09,SB,1723270524
11,yanchep,-31.55,115.6833,22.65,49,0,4.94,AU,1723270526
12,ancud,-41.8697,-73.8203,8.74,85,99,6.34,CL,1723270527
13,puerto ayora,-0.7393,-90.3518,19.6,80,68,4.04,EC,1723270528
14,midvagur,62.0511,-7.1939,9.46,93,75,3.09,FO,1723270529
15,grytviken,-54.2811,-36.5092,-10.37,87,100,3.05,GS,1723270531
16,olonkinbyen,70.9221,-8.7187,4.94,95,100,5.63,SJ,1723270532
17,bethel,41.3712,-73.414,24.22,91,100,0.45,US,1723270533
18,viale,-31.8678,-60.0072,2.68,54,2,2.72,AR,1723270534
19,neelankarai,12.9455,80.2575,35.6,67,75,3.09,IN,1723270535
20,katsuura,35.1333,140.3,28.33,77,100,7.35,JP,1723270389
21,tosya,41.0155,34.0401,23.12,48,0,2.72,TR,1723270537
22,okha,53.5739,142.9478,16.31,72,5,5.09,RU,1723270538
23,geraldton,-28.7667,114.6,25.23,53,0,3.6,AU,1723270540
24,buenavista del norte,28.3746,-16.861,24.11,71,1,8.58,ES,1723270541
25,tra vinh,9.9347,106.3453,34.36,50,65,3.73,VN,1723270542
26,lihue,21.9789,-159.3672,24.77,80,20,6.69,US,1723270544
27,glendive,47.1053,-104.7125,14.79,51,0,3.09,US,1723270546
28,kapa'a,22.0752,-159.319,25.18,77,20,6.69,US,1723270548
29,utrik,11.2278,169.8474,28.51,76,98,7.47,MH,1723270549
30,bilibino,68.0546,166.4372,17.35,41,100,5.58,RU,1723270550
31,poltavka,54.3663,71.7632,17.0,53,99,6.25,RU,1723270551
32,swakopmund,-22.6833,14.5333,12.58,77,0,1.64,NA,1723270319
33,saint-philippe,-21.3585,55.7679,22.06,70,44,6.66,RE,1723270553
34,villa gesell,-37.2639,-56.973,4.79,69,73,7.05,AR,1723270555
35,qadian,31.8178,75.3919,33.26,58,65,3.76,IN,1723270556
36,misratah,32.3754,15.0925,28.38,68,0,2.78,LY,1723270557
37,papatowai,-46.5619,169.4708,8.2,71,100,2.28,NZ,1723270559
38,kone,-21.0595,164.8658,22.88,65,71,2.91,NC,1723270560
39,carnarvon,-24.8667,113.6333,22.81,50,0,4.48,AU,1723270561
40,pisco,-13.7,-76.2167,12.23,87,40,1.03,PE,1723270562
41,kailua-kona,19.6406,-155.9956,24.04,88,21,1.87,US,1723270563
42,ushuaia,-54.8,-68.3,0.81,86,75,1.54,AR,1723270483
43,qandala,11.472,49.8728,33.82,49,26,0.76,SO,1723270565
44,tshikapa,-6.4167,20.8,23.83,24,70,1.16,CD,1723270568
45,uporovo,56.3109,66.2693,14.78,60,100,2.74,RU,1723270397
46,hawaiian paradise park,19.5933,-154.9731,25.73,89,20,1.54,US,1723270570
